,index,Course Code,INSTITUTION and COURSE,EOS,Mid
433,33,WD010,Electronic Engineering,224,378.0
434,34,WD011,Mechanical Engineering,200,301.0
435,35,WD013,Legal Studies,170,307.0
436,36,WD018,Applied Social Care,180,297.0
437,37,WD019,Recreation and Sport Management,181,282.0
438,38,WD076,Forestry,181,331.0
439,39,WD094,Architectural Technology,201,350.0
440,40,WD096,Horticulture (Waterford - Kildalton),260,371.0
441,41,WD097,Horticulture (Dublin - National Botanic Gardens),209,356.0
442,42,WD126,Agriculture,356,424.0
443,43,WD139,Civil Engineering,200,364.0
444,44,WD151,Software Systems Development,180,344.0
445,45,WD153,Multimedia Applications Development,170,309.0
446,46,WD155,Information Technology,121,280.0
447,47,WD159,Business,200,357.0
448,48,WD164,Food Science with Business,222,382.0
449,49,WD172,Culinary Arts,142,269.0
450,50,WD173,Hospitality Studies,182,278.0
451,51,WD174,Tourism,134,282.0
452,52,WD175,Pharmaceutical Science,207,367.0
453,53,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Phar",.) 213,413.0
454,54,WD182,Electrical Engineering,188,315.0
455,0,WD184,Retail Management,190,298
456,1,WD188,Applied Health Care,206,339
457,2,WD205,Molecular Biology with Biopharmaceutical Science,208,441
458,3,WD206,Electronic Engineering,191,322
459,4,WD207,Mechanical Engineering,179,330
460,5,WD208,Manufacturing Engineering,195,330
